"Data published in District Resource Statement","Data as of","Borough","Community District","DRS Medicaid (MA) Only Enrollees","DRS Total Medicaid (MA) Enrollees","DRS Cash Assistance (CA) Recipients","DRS Cash Assistance (CA) Cases","DRS Total Supplemental Nutrition Assistance Program (SNAP)  Recipients","DRS Total Supplemental Nutrition Assistance Program (SNAP)  Households"
"FY 2021","10/31/2020","BRONX","B03","11,212","35,431","14,245","7,597","44,880","24,619"
"FY 2021","10/31/2020","BRONX","B04","17,724","46,670","16,450","8,562","57,847","32,323"
"FY 2021","10/31/2020","BRONX","B05","15,506","44,433","17,373","9,086","56,538","31,196"
"FY 2021","10/31/2020","BRONX","B06","9,522","33,831","14,533","7,379","40,793","22,315"
"FY 2021","10/31/2020","BRONX","B07","15,644","39,403","13,764","7,425","48,327","27,789"
"FY 2021","10/31/2020","BRONX","B08","8,029","16,084","3,824","2,046","18,378","10,981"
"FY 2021","10/31/2020","BRONX","B09","19,083","46,640","15,743","7,992","56,508","31,193"
"FY 2021","10/31/2020","BRONX","B10","8,631","17,366","4,384","2,341","20,079","12,138"
"FY 2021","10/31/2020","BRONX","B11","10,669","23,227","6,627","3,536","26,108","15,174"
"FY 2021","10/31/2020","BRONX","B12","12,396","34,799","14,168","7,148","40,668","22,425"
"FY 2021","10/31/2020","BROOKLYN","K01","31,203","45,098","7,598","3,125","52,638","21,671"
"FY 2021","10/31/2020","BROOKLYN","K02","6,081","13,113","3,624","2,254","14,346","9,793"
"FY 2021","10/31/2020","BROOKLYN","K03","17,072","36,860","11,081","5,957","45,933","25,508"
"FY 2021","10/31/2020","BROOKLYN","K04","10,211","20,592","4,623","2,693","25,495","16,157"
"FY 2021","10/31/2020","BROOKLYN","K05","22,049","50,477","15,945","8,485","67,294","38,992"
"FY 2021","10/31/2020","BROOKLYN","K06","4,743","10,078","2,465","1,527","11,483","7,570"
"FY 2021","10/31/2020","BROOKLYN","K07","17,267","24,923","3,361","2,040","21,655","13,108"
"FY 2021","10/31/2020","BROOKLYN","K08","7,659","17,901","5,590","3,411","20,721","13,798"
"FY 2021","10/31/2020","BROOKLYN","K09","9,864","18,387","4,525","2,728","21,854","13,577"
"FY 2021","10/31/2020","BROOKLYN","K10","14,319","20,409","2,405","1,441","18,409","10,950"
"FY 2021","10/31/2020","BROOKLYN","K11","26,958","40,131","3,609","2,108","36,631","21,814"
"FY 2021","10/31/2020","BROOKLYN","K12","42,579","59,148","10,562","2,845","61,981","20,428"
"FY 2021","10/31/2020","BROOKLYN","K13","14,553","32,443","5,582","2,903","32,371","21,655"
"FY 2021","10/31/2020","BROOKLYN","K14","17,486","29,421","5,135","2,975","31,844","19,035"
"FY 2021","10/31/2020","BROOKLYN","K15","18,239","30,186","3,478","1,943","28,429","17,807"
